date,round,venue,championDataId,squiggleId,playerGuernsey,teamAbbr,position,givenName,surname,disposalLine
28/06/2024,16,Gabba,CD_I1014026,12969,1,BL,INT,Kai,Lohmann,
28/06/2024,16,Gabba,CD_I1009385,12772,2,BL,EMERG,Deven,Robertson,
28/06/2024,16,Gabba,CD_I294518,12205,3,BL,FF,Joe,Daniher,
28/06/2024,16,Gabba,CD_I298437,12412,4,BL,FPL,Callum,Ah Chee,
28/06/2024,16,Gabba,CD_I993834,12421,5,BL,RR,Josh,Dunkley,
28/06/2024,16,Gabba,CD_I1000978,12526,6,BL,HFFR,Hugh,McCluggage,
28/06/2024,16,Gabba,CD_I998133,12525,7,BL,WR,Jarrod,Berry,
28/06/2024,16,Gabba,CD_I1023517,13034,8,BL,INT,Will,Ashcroft,
28/06/2024,16,Gabba,CD_I293535,12061,9,BL,R,Lachie,Neale,
28/06/2024,16,Gabba,CD_I1028019,13138,13,BL,INT,Logan,Morris,
28/06/2024,16,Gabba,CD_I261224,12082,15,BL,BPL,Dayne,Zorko,
28/06/2024,16,Gabba,CD_I1002235,12594,16,BL,C,Cam,Rayner,
28/06/2024,16,Gabba,CD_I990609,12284,23,BL,HFFL,Charlie,Cameron,
28/06/2024,16,Gabba,CD_I997846,12400,26,BL,INT,Conor,McKenna,
28/06/2024,16,Gabba,CD_I1023708,13072,28,BL,SUB,Jaspa,Fletcher,
28/06/2024,16,Gabba,CD_I993953,12462,30,BL,CHF,Eric,Hipwood,
28/06/2024,16,Gabba,CD_I996059,12347,31,BL,CHB,Harris,Andrews,
28/06/2024,16,Gabba,CD_I298211,12726,32,BL,EMERG,Darcy,Fort,
28/06/2024,16,Gabba,CD_I1002312,12617,33,BL,FPR,Zac,Bailey,
28/06/2024,16,Gabba,CD_I1028105,13143,34,BL,EMERG,Shadeau,Brain,
28/06/2024,16,Gabba,CD_I291548,11901,35,BL,BPR,Ryan,Lester,
28/06/2024,16,Gabba,CD_I1002401,12673,37,BL,HBFR,Brandon,Starcevich,
28/06/2024,16,Gabba,CD_I1009317,13139,38,BL,WL,Bruce,Reville,
28/06/2024,16,Gabba,CD_I1003520,12661,41,BL,FB,Darragh,Joyce,
28/06/2024,16,Gabba,CD_I1017067,13027,44,BL,HBFL,Darcy,Wilmot,
28/06/2024,16,Gabba,CD_I1005521,12625,46,BL,RK,Oscar,McInerney,
28/06/2024,16,Gabba,CD_I281085,11945,1,MELB,FB,Steven,May,
28/06/2024,16,Gabba,CD_I1017720,13048,2,MELB,FPR,Jacob,van Rooyen,
28/06/2024,16,Gabba,CD_I1017703,13036,4,MELB,BPR,Judd,McVee,
28/06/2024,16,Gabba,CD_I1027821,13099,6,MELB,WR,Caleb,Windsor,
28/06/2024,16,Gabba,CD_I291902,12152,7,MELB,RR,Jack,Viney,
28/06/2024,16,Gabba,CD_I298281,12359,8,MELB,BPL,Jake,Lever,
28/06/2024,16,Gabba,CD_I290528,11972,11,MELB,RK,Max,Gawn,
28/06/2024,16,Gabba,CD_I996701,12411,13,MELB,R,Clayton,Oliver,
28/06/2024,16,Gabba,CD_I298264,12401,15,MELB,HFFR,Ed,Langdon,
28/06/2024,16,Gabba,CD_I1012826,13035,16,MELB,EMERG,Bailey,Laurie,
28/06/2024,16,Gabba,CD_I1012825,12933,17,MELB,EMERG,Jake,Bowey,
28/06/2024,16,Gabba,CD_I291819,12034,20,MELB,INT,Adam,Tomlinson,
28/06/2024,16,Gabba,CD_I1023486,,21,MELB,EMERG,Matthew,Jefferson,
28/06/2024,16,Gabba,CD_I1009378,12778,24,MELB,HBFR,Trent,Rivers,
28/06/2024,16,Gabba,CD_I291533,12015,25,MELB,CHB,Tom,McDonald,
28/06/2024,16,Gabba,CD_I296420,12375,30,MELB,C,Alex,Neal-Bullen,
28/06/2024,16,Gabba,CD_I1001438,12603,31,MELB,FF,Bayley,Fritsch,
28/06/2024,16,Gabba,CD_I999391,12692,32,MELB,INT,Tom,Sparrow,
28/06/2024,16,Gabba,CD_I1008893,12660,35,MELB,CHF,Harrison,Petty,
28/06/2024,16,Gabba,CD_I1008541,12774,36,MELB,FPL,Kysaiah,Pickett,
28/06/2024,16,Gabba,CD_I1005330,12756,37,MELB,INT,Kade,Chandler,
28/06/2024,16,Gabba,CD_I1023640,13123,39,MELB,HFFL,Koltyn,Tholstrup,
28/06/2024,16,Gabba,CD_I1018425,13078,40,MELB,WL,Taj,Woewodin,
